fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,fixed_2,fixed_3,fixed_4,volatile_2,density_2,density_3,citric_2,residual_2,chlorides_2,free_2,total_2,pH_2,sulphates_2,alcohol_2
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6,79.21,704.969,6274.2241,0.0484,0.99361024,0.990430687,0.2304,3.24,0.005929,841,3600,0.99361024,11.4921,0.2809
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,57.76,438.976,3336.2176,0.1521,0.99640324,0.994609714,0.0961,5.29,0.006724,529,5041,0.99640324,12.3904,0.4225
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,62.41,493.039,3895.0081,0.1849,0.99321156,0.989834641,0.0441,2.56,0.011236,100,1369,0.99321156,10.0489,0.8281
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,72.25,614.125,5220.0625,0.2401,0.99361024,0.990430687,0.0121,5.29,0.007056,81,4489,0.99361024,10.0489,0.2809
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,47.61,328.509,2266.7121,0.16,0.99361024,0.990430687,0.0196,5.76,0.007225,441,1600,0.99361024,11.7649,0.3969
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,39.69,250.047,1575.2961,0.1521,0.99102025,0.986560659,0.0256,1.96,0.0064,121,529,0.99102025,11.1556,0.3136
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5,57.76,438.976,3336.2176,0.1681,0.99241444,0.988643265,0.0576,3.24,0.0064,16,121,0.99241444,10.7584,0.3481
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,62.41,493.039,3895.0081,0.1849,0.99321156,0.989834641,0.0441,2.56,0.011236,100,1369,0.99321156,10.0489,0.8281
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,50.41,357.911,2541.1681,0.5041,0.99440784,0.991623498,0,3.61,0.0064,196,1225,0.99440784,12.0409,0.3025
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,60.84,474.552,3701.5056,0.416025,0.99281296,0.989238833,0,4,0.006724,64,256,0.99281296,11.4244,0.3481
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,44.89,300.763,2015.1121,0.455625,0.99161764,0.987452846,0.0049,5.76,0.007921,289,6724,0.99161764,11.2225,0.2916
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6,47.61,328.509,2266.7121,0.469225,0.99321156,0.989834641,0,6.25,0.011025,484,1369,0.99321156,11.9716,0.3249
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,68.89,571.787,4745.8321,0.429025,0.99321156,0.989834641,0.0144,5.29,0.006889,225,12769,0.99321156,10.0489,0.4356
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6,47.61,328.509,2266.7121,0.366025,0.99860049,0.99790147,0.0144,114.49,0.005329,1600,6889,0.99860049,11.9025,0.2704
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,27.04,140.608,731.1616,0.1024,0.99141849,0.98715539,0.0625,3.24,0.010609,169,2500,0.99141849,11.4244,0.3025
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6,60.84,474.552,3701.5056,0.416025,0.99720196,0.995805877,0,30.25,0.007396,25,324,0.99720196,11.56,0.3025
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,60.84,474.552,3701.5056,0.36,0.99500625,0.992518734,0.0196,5.76,0.007396,9,225,0.99500625,11.6964,0.36
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,65.61,531.441,4304.6721,0.1444,0.99361024,0.990430687,0.0784,4.41,0.004356,169,900,0.99361024,10.4329,0.5329
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4,32.49,185.193,1055.6001,1.2769,0.988036,0.982107784,0.0081,2.25,0.029584,49,361,0.988036,12.25,0.2304
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,53.29,389.017,2839.8241,0.2025,0.99560484,0.993414509,0.1296,34.81,0.005476,144,7569,0.99560484,11.0889,0.6889
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,53.29,389.017,2839.8241,0.2025,0.99560484,0.993414509,0.1296,34.81,0.005476,144,7569,0.99560484,11.0889,0.6889
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,77.44,681.472,5996.9536,0.3721,0.99520576,0.992817266,0.09,7.84,0.007744,289,2116,0.99520576,10.6276,0.2601
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6,56.25,421.875,3164.0625,0.2401,0.99361024,0.990430687,0.04,6.76,0.110224,64,196,0.99361024,10.3041,0.81
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,65.61,531.441,4304.6721,0.4356,0.99361024,0.990430687,0.0484,4.84,0.004761,81,529,0.99361024,10.89,1.44
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5,46.24,314.432,2138.1376,0.4489,0.99241444,0.988643265,0.0004,3.24,0.0025,25,121,0.99241444,12.1104,0.2704
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,21.16,97.336,447.7456,0.2704,0.98684356,0.980330393,0.0225,4.41,0.002916,64,4225,0.98684356,15.21,0.3136
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,59.29,456.533,3515.3041,0.874225,0.994009,0.991026973,0.1849,4.84,0.012996,484,12996,0.994009,10.5625,0.5329
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5,75.69,658.503,5728.9761,0.0841,0.99380961,0.9907288,0.2704,2.56,0.012769,144,1369,0.99380961,10.5625,0.3364
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5,40.96,262.144,1677.7216,0.16,0.99161764,0.987452846,0.0529,2.56,0.004356,25,144,0.99161764,11.1556,0.3136
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,31.36,175.616,983.4496,0.0961,0.99082116,0.986263383,0.1369,1.96,0.005476,144,9216,0.99082116,11.0224,0.3364
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,77.44,681.472,5996.9536,0.4356,0.99420841,0.991325206,0.0676,2.89,0.005476,16,529,0.99420841,9.9225,0.5476
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,43.56,287.496,1897.4736,0.2704,0.99121936,0.986857995,0.0016,4.84,0.004761,64,225,0.99121936,11.56,0.3969
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6,43.56,287.496,1897.4736,0.25,0.99102025,0.986560659,0.0016,4.41,0.004624,36,196,0.99102025,11.4921,0.4096
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5,73.96,636.056,5470.0816,0.1444,0.994009,0.991026973,0.1296,9,0.006561,900,14161,0.994009,10.24,0.3136
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,57.76,438.976,3336.2176,0.2601,0.99102025,0.986560659,0.0225,7.84,0.0121,1089,5329,0.99102025,10.0489,0.3969
7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5,59.29,456.533,3515.3041,0.3844,0.99560484,0.993414509,0.0016,14.44,0.007056,625,2025,0.99560484,11.1556,0.2809
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,104.04,1061.208,10824.3216,0.1764,0.99420841,0.991325206,0.3249,11.56,0.0049,16,100,0.99420841,9.2416,0.3969
7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5,56.25,421.875,3164.0625,0.3969,0.99660289,0.994908665,0.0144,26.01,0.012321,2500,12100,0.99660289,10.6276,0.5929
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,60.84,474.552,3701.5056,0.3481,0.99500625,0.992518734,0.0324,5.29,0.005776,289,2916,0.99500625,11.7649,0.3481
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6,53.29,389.017,2839.8241,0.1521,0.99241444,0.988643265,0.0961,5.76,0.005476,81,2116,0.99241444,11.6281,0.2916
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5,77.44,681.472,5996.9536,0.16,0.996004,0.994011992,0.16,4.84,0.006241,361,2704,0.996004,11.8336,0.4096
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5,59.29,456.533,3515.3041,0.4761,0.99361024,0.990430687,0.2401,3.24,0.013225,400,12544,0.99361024,10.3041,0.5041
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7,56.25,421.875,3164.0625,0.2704,0.99361024,0.990430687,0.0256,3.61,0.007225,144,1225,0.99361024,11.4244,0.3844
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5,49,343,2401,0.540225,0.99321156,0.989834641,0.0025,4,0.006561,169,2916,0.99321156,11.4921,0.3249
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,51.84,373.248,2687.3856,0.525625,0.99241444,0.988643265,0.0025,21.6225,0.007396,16,121,0.99241444,11.6281,0.1521
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,51.84,373.248,2687.3856,0.525625,0.99241444,0.988643265,0.0025,21.6225,0.007396,16,121,0.99241444,11.6281,0.1521
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,56.25,421.875,3164.0625,0.2704,0.99361024,0.990430687,0.0121,2.25,0.006241,121,1521,0.99361024,11.6964,0.3364
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,43.56,287.496,1897.4736,0.497025,0.99241444,0.988643265,0.0049,2.56,0.005776,36,225,0.99241444,11.8336,0.3364
9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5,86.49,804.357,7480.5201,0.1024,0.99380961,0.9907288,0.3249,4,0.005476,729,4225,0.99380961,10.7584,0.6241
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6,64,512,4096,0.497025,0.99241444,0.988643265,0.0025,3.61,0.005476,64,361,0.99241444,11.1556,0.9025
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6,59.29,456.533,3515.3041,0.3969,0.99341089,0.990132634,0.0064,3.61,0.005776,225,729,0.99341089,11.0224,0.2916
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5,59.29,456.533,3515.3041,0.4489,0.99241444,0.988643265,0.0529,4.41,0.007744,289,9216,0.99241444,11.0224,0.2304
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,59.29,456.533,3515.3041,0.4761,0.99221521,0.988345571,0.0484,3.61,0.007056,324,8836,0.99221521,10.9561,0.2304
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4,68.89,571.787,4745.8321,0.455625,0.99520576,0.992817266,0.0676,4.41,0.007056,121,1849,0.99520576,10.9561,0.2809
9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5,94.09,912.673,8852.9281,0.1024,0.99680256,0.995207676,0.2916,6.25,0.008836,784,6889,0.99680256,10.7584,0.6724
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,77.44,681.472,5996.9536,0.1681,0.99720196,0.995805877,0.4096,4.84,0.008649,81,1764,0.99720196,12.5316,0.4356
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,77.44,681.472,5996.9536,0.1681,0.99720196,0.995805877,0.4096,4.84,0.008649,81,1764,0.99720196,12.5316,0.4356
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6,46.24,314.432,2138.1376,0.616225,0.99321156,0.989834641,0,5.76,0.010816,196,900,0.99321156,12.3904,0.3025
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5,44.89,300.763,2015.1121,0.5625,0.99161764,0.987452846,0.0144,4,0.007396,144,6400,0.99161764,11.4244,0.2704
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4,68.89,571.787,4745.8321,0.390625,0.99440784,0.991623498,0.04,2.25,0.0064,729,14161,0.99440784,9.9856,1.2544
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,38.44,238.328,1477.6336,0.2025,0.99161764,0.987452846,0.04,2.56,0.004761,9,225,0.99161764,11.6281,0.3136
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5,60.84,474.552,3701.5056,0.1849,0.99480676,0.992220262,0.49,3.61,0.215296,484,4489,0.99480676,9.7969,1.6384
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5,54.76,405.224,2998.6576,0.25,0.994009,0.991026973,0.2209,4,0.007396,441,5329,0.994009,11.2896,0.3249
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5,53.29,389.017,2839.8241,0.4489,0.99380961,0.9907288,0.0676,3.24,0.160801,256,2601,0.99380961,9.9856,1.2996
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,39.69,250.047,1575.2961,0.09,0.99181681,0.987750361,0.2304,3.24,0.004761,324,3721,0.99181681,11.8336,0.6084
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5,47.61,328.509,2266.7121,0.3025,0.99221521,0.988345571,0.0225,4.84,0.005776,361,1600,0.99221521,11.6281,0.3481
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,73.96,636.056,5470.0816,0.2401,0.99440784,0.991623498,0.0784,3.61,0.0121,400,18496,0.99440784,8.5849,3.8025
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,59.29,456.533,3515.3041,0.2401,0.99321156,0.989834641,0.0676,3.61,0.003844,81,961,0.99321156,11.4921,0.4096
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5,86.49,804.357,7480.5201,0.1521,0.99560484,0.993414509,0.1936,4.41,0.011449,1156,15625,0.99560484,9.8596,1.4884
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5,49,343,2401,0.3844,0.99560484,0.993414509,0.0064,3.24,0.005776,64,576,0.99560484,12.1104,0.2809
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,62.41,493.039,3895.0081,0.2704,0.99281296,0.989238833,0.0676,3.61,0.006241,1764,19600,0.99281296,10.4329,0.2916
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,73.96,636.056,5470.0816,0.2401,0.99440784,0.991623498,0.0784,3.61,0.0121,400,18496,0.99440784,8.5849,3.8025
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5,73.96,636.056,5470.0816,0.2401,0.99440784,0.991623498,0.0841,4,0.0121,361,17689,0.99440784,8.5849,3.9204
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,59.29,456.533,3515.3041,0.2401,0.99321156,0.989834641,0.0676,3.61,0.003844,81,961,0.99321156,11.4921,0.4096
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,25,125,625,1.0404,0.98763844,0.981515082,0.0016,1.96,0.002025,1681,7225,0.98763844,14.0625,0.2304
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,22.09,103.823,487.9681,0.36,0.98644624,0.979738406,0.0289,5.29,0.003364,289,11236,0.98644624,14.8225,0.36
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,46.24,314.432,2138.1376,0.600625,0.99301225,0.989536707,0,9,0.010404,64,529,0.99301225,11.9025,0.3136
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5,49,343,2401,0.25,0.99261369,0.988941019,0.0625,4,0.0049,9,484,0.99261369,10.5625,0.3969
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,57.76,438.976,3336.2176,0.81,0.99341089,0.990132634,0.0036,6.25,0.006241,25,100,0.99341089,11.4921,0.3136
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,65.61,531.441,4304.6721,0.297025,0.99440784,0.991623498,0.0324,3.61,0.0064,169,1225,0.99440784,10.89,0.3481
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,68.89,571.787,4745.8321,0.3721,0.99440784,0.991623498,0.09,4.41,0.007056,121,2500,0.99440784,11.56,0.3721
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6,60.84,474.552,3701.5056,0.25,0.99181681,0.987750361,0.09,3.61,0.005625,64,484,0.99181681,10.9561,0.3136
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,65.61,531.441,4304.6721,0.297025,0.99440784,0.991623498,0.0324,3.61,0.0064,169,1225,0.99440784,10.89,0.3481
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,65.61,531.441,4304.6721,0.330625,0.99341089,0.990132634,0.0484,4.41,0.005929,144,4225,0.99341089,10.8241,0.2601
7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5,51.84,373.248,2687.3856,0.2401,0.992016,0.988047936,0.0576,4.84,0.0049,25,1296,0.992016,11.0889,0.2304
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,65.61,531.441,4304.6721,0.330625,0.99341089,0.990132634,0.0484,4.41,0.005929,144,4225,0.99341089,10.8241,0.2601
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,60.84,474.552,3701.5056,0.1681,0.99460729,0.99192185,0.4624,2.89,0.218089,324,4761,0.99460729,9.4864,1.7161
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,38.44,238.328,1477.6336,0.3969,0.99380961,0.9907288,0.0961,2.89,0.007744,225,4096,0.99380961,11.9716,0.6241
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,64,512,4096,0.1089,0.99520576,0.992817266,0.2809,6.25,0.008281,324,6400,0.99520576,11.3569,0.64
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5,65.61,531.441,4304.6721,0.616225,0.99380961,0.9907288,0.2704,4,0.014884,1369,23409,0.99380961,10.3041,0.4761
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,60.84,474.552,3701.5056,0.3136,0.99281296,0.989238833,0.0361,3.24,0.010816,144,2209,0.99281296,10.1761,0.8649
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5,70.56,592.704,4978.7136,0.3844,0.99281296,0.989238833,0.0081,4.84,0.007056,121,11664,0.99281296,9.9225,0.4356
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5,70.56,592.704,4978.7136,0.36,0.99281296,0.989238833,0.01,4.84,0.007225,196,12321,0.99281296,9.9225,0.4356
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6,102.01,1030.301,10406.0401,0.0961,0.99760144,0.996404318,0.1936,5.29,0.0064,484,2116,0.99760144,11.0224,0.4489
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,60.84,474.552,3701.5056,0.3136,0.99281296,0.989238833,0.0361,3.24,0.010816,144,2209,0.99281296,10.1761,0.8649
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6,88.36,830.584,7807.4896,0.16,0.99321156,0.989834641,0.0961,4.84,0.0081,169,3844,0.99321156,9.4249,0.3969
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6,68.89,571.787,4745.8321,0.2916,0.99560484,0.993414509,0.0784,3.61,0.005929,121,1600,0.99560484,11.4921,0.3721
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6,60.84,474.552,3701.5056,0.3136,0.994009,0.991026973,0.0144,4,0.006724,49,784,0.994009,11.3569,0.25
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,77.44,681.472,5996.9536,0.3025,0.99241444,0.988643265,0.0016,4.84,0.014161,196,3136,0.99241444,10.3041,0.36
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6,49,343,2401,0.4761,0.99181681,0.987750361,0.0064,3.24,0.009409,484,7921,0.99181681,11.1556,0.2916
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5,53.29,389.017,2839.8241,1.1449,0.99241444,0.988643265,0.0081,2.89,0.031684,100,7921,0.99241444,10.89,0.3249
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,77.44,681.472,5996.9536,0.3025,0.99241444,0.988643265,0.0016,4.84,0.014161,196,3136,0.99241444,10.3041,0.36
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5,53.29,389.017,2839.8241,0.483025,0.996004,0.994011992,0,6.25,0.005625,9,169,0.996004,12.1801,0.2704
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5,64,512,4096,0.5041,0.99520576,0.992817266,0,6.76,0.0064,121,1156,0.99520576,11.8336,0.2809
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5,60.84,474.552,3701.5056,0.25,0.992016,0.988047936,0.0289,2.56,0.006724,441,10404,0.992016,11.4921,0.2304
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5,81,729,6561,0.3844,0.99680256,0.995207676,0.0016,3.61,0.021316,729,8100,0.99680256,9.9856,0.49
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,67.24,551.368,4521.2176,1.7689,0.99281296,0.989238833,0,2.89,0.006561,9,144,0.99281296,12.4609,0.2401
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,65.61,531.441,4304.6721,1.7689,0.99281296,0.989238833,0,3.24,0.006724,9,144,0.99281296,12.5316,0.2304
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,64,512,4096,0.3481,0.99241444,0.988643265,0.0256,3.24,0.004225,9,256,0.99241444,11.6964,0.8464
